zipcode,H025_zip,H512_zip,total_capacity,facility_count
10001,8.432527967700606,600.5674720322994,609,9
10002,79.14970510953732,4649.8502948904625,4729,57
10003,0.0,1995.0,1995,7
10004,0.0,263.0,263,2
10005,0.0,39.0,39,1
10006,14.0,142.0,156,1
10007,0.0,284.0,284,3
10009,60.983488346140014,1723.01651165386,1784,23
10010,0.0,234.0,234,3
10011,44.232427779234314,1911.7675722207657,1956,7
10012,10.360539597385788,13.639460402614212,24,2
10013,4.646411845662171,430.35358815433784,435,5
10014,71.0,1640.0,1711,6
10016,5.499135804192892,817.500864195807,823,3
10017,0.0,107.0,107,2
10019,25.985421268429917,565.01457873157,591,12
10020,0.0,44.0,44,2
10021,0.0,460.0,460,1
10022,5.216046189632506,10.783953810367493,16,1
10023,8.82922330307126,1090.1707766969287,1099,9
10024,58.111270942041045,1184.888729057959,1243,14
10025,172.45105963356366,2380.5489403664365,2553,36
10026,158.49512482960773,1547.5048751703923,1706,43
10027,142.8470190993923,3615.152980900608,3758,59
10028,44.62743703109527,303.37256296890473,348,3
10029,144.75499344033207,3213.245006559668,3358,68
10030,74.87557866205975,1197.1244213379402,1272,28
10031,201.2397917782691,1375.7602082217309,1577,60
10032,293.0100275287349,2928.989972471265,3222,82
10033,387.89938786966997,2505.1006121303303,2893,91
10034,349.78670604331455,2776.2132939566854,3126,79
10035,46.691537772282075,2028.3084622277179,2075,30
10036,0.0,686.0,686,3
10037,80.35856036081498,505.641439639185,586,18
10038,23.715481993086843,778.2845180069131,802,9
10039,107.69366290341104,1315.306337096589,1423,34
10040,313.56718231038525,2280.4328176896147,2594,86
10044,6.398493045030971,482.601506954969,489,5
10065,40.0,805.0,845,5
10069,6.193116227562037,9.806883772437963,16,1
10075,0.0,235.0,235,1
10128,0.0,301.0,301,3
10166,0.0,39.0,39,1
10280,0.0,509.0,509,1
10282,0.0,279.0,279,2
10301,132.1060505128569,1772.8939494871431,1905,32
10302,76.25501291200615,667.7449870879939,744,19
10303,139.80593854938343,1489.1940614506166,1629,50
10304,155.80382693070234,1864.1961730692976,2020,42
10305,47.37289829606522,738.6271017039347,786,20
10306,34.546175833546755,543.4538241664532,578,15
10307,0.0,259.0,259,3
10308,8.415015020205761,422.5849849797942,431,6
103082215,4.5600000000000005,11.44,16,1
10309,3.1536862361143387,293.84631376388563,297,5
10310,98.07172531189148,1069.9282746881086,1168,27
10311,0.0,123.0,123,1
10312,52.24059833284413,1087.7594016671558,1140,16
10314,56.758676888058126,1597.2413231119417,1654,22
10451,389.1873891143855,2897.8126108856145,3287,113
10452,1017.4306456541602,5966.56935434584,6984,287
104524702,4.5600000000000005,11.44,16,1
10453,989.4035468781905,5851.59645312181,6841,278
10454,213.14910722882857,2949.8508927711714,3163,71
10455,299.3704114059916,2735.6295885940085,3035,111
10456,917.1014159214294,6024.898584078571,6942,239
104561938,0.0,310.0,310,1
104567886,0.0,34.0,34,1
10457,995.936957581748,5563.063042418252,6559,249
10458,859.859873006557,3797.140126993443,4657,226
10459,519.9953630220131,3498.004636977987,4018,135
10460,600.7143441169516,4219.285655883048,4820,166
10461,143.7323668316436,1318.2676331683565,1462,42
10462,481.024050882684,2943.9759491173163,3425,115
10463,486.4370488465659,3762.5629511534344,4249,118
10464,1.8412248210615396,112.15877517893847,114,3
10465,287.41940885771623,1600.5805911422838,1888,62
10466,486.5811119961812,2705.4188880038187,3192,127
10467,833.6940753017077,5386.305924698292,6220,214
10468,1052.5783184257566,3255.421681574244,4308,231
10469,403.6294357124763,1911.3705642875238,2315,94
10470,125.99269281999214,506.00730718000784,632,19
10471,42.54909024140855,241.45090975859148,284,10
10472,594.5388569034847,2982.4611430965156,3577,135
104726203,4.5600000000000005,11.44,16,1
10473,325.41129611089883,3222.588703889101,3548,91
10474,81.25969935491514,1112.740300645085,1194,23
10475,79.66095886994168,1728.3390411300584,1808,23
10502,7.46080096372715,265.53919903627286,273,4
10504,547.0,159.0,706,6
10506,8.31848046329451,71.6815195367055,80,4
10507,151.0,69.0,220,3
10509,799.6976417275991,215.3023582724009,1015,11
10510,378.0,326.0,704,8
10511,9.166229189378576,62.83377081062142,72,3
10512,155.61360925343604,74.38639074656398,230,10
10514,424.0,161.0,585,7
10516,151.71743557821225,11.282564421787754,163,4
10517,0.0,114.0,114,1
10520,545.9865238085499,301.01347619145014,847,9
10522,305.93277374847975,133.06722625152025,439,6
105222861,142.0,0.0,142,1
10523,455.9559269859819,277.0440730140181,733,16
10524,2.8770310114662325,13.122968988533767,16,1
10527,64.0,0.0,64,1
10528,496.7925070964525,193.20749290354752,690,10
10530,185.97247982011703,219.02752017988297,405,9
10532,175.84132178894868,205.15867821105132,381,4
10533,88.0,69.0,157,2
10535,0.0,100.0,100,1
10536,239.22887488114952,75.77112511885048,315,6
10538,372.0,83.0,455,6
10540,140.0,80.0,220,2
10541,618.3974187256165,339.60258127438357,958,22
10543,423.05813839394943,443.94186160605057,867,16
10547,497.0,320.0,817,6
10548,61.0,60.0,121,2
10549,584.0,150.0,734,7
10550,448.2998047606979,713.7001952393022,1162,50
10552,245.86990999320236,350.1300900067976,596,19
10553,38.02564512715264,117.97435487284736,156,11
10560,0.0,129.0,129,1
10562,614.2378404334308,1122.7621595665692,1737,20
10566,428.59364084193487,433.4063591580651,862,23
10567,93.84220499639102,121.15779500360898,215,5
105677400,88.0,0.0,88,1
10570,139.0,177.0,316,2
10573,585.7138954615981,971.2861045384019,1557,32
105732118,4.5600000000000005,11.44,16,1
10576,0.0,40.0,40,1
10577,342.44003092505284,22.559969074947197,365,5
10579,79.20702561775548,150.79297438224452,230,4
105792004,0.0,80.0,80,1
10580,263.5783679445222,146.42163205547783,410,6
10583,1355.7925469117179,420.20745308828214,1776,17
10587,4.5600000000000005,11.44,16,1
10588,0.0,41.0,41,1
10589,62.07778403616175,147.92221596383825,210,3
10590,163.0,82.0,245,3
10591,642.2063913902069,893.7936086097931,1536,24
105916002,111.0,20.0,131,1
10594,9.221401789242702,22.7785982107573,32,2
10595,620.9714469595201,119.0285530404799,740,7
10598,1063.700491548731,528.2995084512692,1592,20
10601,229.0,55.0,284,3
10603,77.01196217477079,244.9880378252292,322,6
106032625,4.5600000000000005,11.44,16,1
10604,436.9442047345867,290.0557952654133,727,10
