batch,facility_id,zipcode,latitude,longitude,added_slots,cost
batch_8,886068,12721,41.5633,-74.462139,6,17100.0
batch_8,884584,11581,40.657836,-73.697658,56,90600.0
batch_8,906061,11581,40.650136,-73.717938,24,43400.0
batch_8,842213,11581,40.656392,-73.700775,18,35600.0
batch_8,880784,11581,40.663148,-73.70886,16,31600.0
batch_8,858626,11581,40.652669,-73.695048,8,19419.04761904762
batch_8,812716,11581,40.65287966681117,-73.71150245839948,6,17100.0
batch_8,305153,11581,40.65287966681117,-73.71150245839948,6,17100.0
batch_8,824483,11581,40.649842,-73.707316,6,17100.0
batch_8,881647,11581,40.65226,-73.709632,6,17100.0
batch_8,689795,11581,40.653,-73.698331,6,17100.0
batch_8,208186,11581,40.652357,-73.711396,6,17100.0
batch_8,867782,11581,40.654772,-73.724636,6,17100.0
batch_8,831273,11581,40.652865,-73.706041,6,17100.0
batch_8,318268,11581,40.647899,-73.724357,6,17100.0
batch_8,261402,11581,40.649313,-73.697429,6,17100.0
batch_8,774132,11581,40.648598,-73.715868,6,17100.0
batch_8,886276,11581,40.653691,-73.720613,6,17100.0
batch_8,884800,11581,40.657202,-73.708119,6,17100.0
batch_8,903528,11581,40.654286,-73.703229,6,17100.0
batch_8,883053,11581,40.646388,-73.70005,6,17100.0
batch_8,898376,11581,40.655493,-73.708232,6,17100.0
batch_8,43925,10603,41.041202,-73.771631,80,126000.0
batch_8,714866,10603,41.041372,-73.767163,23,43131.03448275862
batch_8,369744,10603,41.058055,-73.780938,6,17100.0
batch_8,170155,10603,41.046781,-73.787589,6,17100.0
batch_8,352734,10603,41.046122,-73.760776,6,17100.0
batch_8,906158,10603,41.061343,-73.767799,6,17100.0
batch_8,747231,12308,42.81235,-73.9171,34,59200.0
batch_8,800214,12308,42.825781,-73.908624,28,49600.0
batch_8,750412,12308,42.82073,-73.907934,17,33327.27272727273
batch_8,900622,12308,42.814507,-73.926038,6,17100.0
batch_8,742058,12308,42.831003,-73.919984,6,17100.0
batch_8,900943,12308,42.821745,-73.924371,6,17100.0
batch_8,877063,12308,42.820449,-73.92599,3,12900.0
batch_8,32909,12308,42.805506,-73.918726,3,12900.0
batch_8,885659,12308,42.827013,-73.920425,3,12900.0
batch_8,709655,11414,40.657974,-73.844199,112,173200.0
batch_8,915683,11414,40.665841,-73.851026,91,143182.4561403509
batch_8,650680,11414,40.660101,-73.834612,67,107776.19047619047
batch_8,689088,11414,40.661142,-73.835358,6,17100.0
batch_8,685041,11414,40.669388,-73.849434,6,17100.0
batch_8,818014,11414,40.669016,-73.845034,6,17100.0
batch_8,874229,11414,40.665142,-73.855794,6,17100.0
batch_8,878530,11414,40.662441,-73.855517,6,17100.0
batch_8,922373,11414,40.659025,-73.83328,6,17100.0
batch_8,888865,11414,40.664531,-73.854012,6,17100.0
batch_8,903648,11414,40.661406,-73.835196,6,17100.0
batch_8,918937,11414,40.657661,-73.84607,6,17100.0
batch_8,921832,11414,40.655041,-73.829507,3,12900.0
batch_8,801517,11096,40.616851,-73.740203,54,88400.0
batch_8,39852,11096,40.619925,-73.744375,28,49600.0
batch_8,861013,11096,40.61674,-73.746815,17,34506.976744186046
batch_8,876167,11096,40.615803,-73.755741,6,17100.0
batch_8,593241,11096,40.612405,-73.750339,6,17100.0
batch_8,866071,11096,40.620536,-73.738135,6,17100.0
batch_8,913562,11096,40.614206,-73.751816,6,17100.0
