zipcode,pop_0_5,pop_5_12,pop_0_12,avg_income,employment_rate,num_existing_facilities,H025_zip,H512_zip,high_demand,desert_threshold,is_desert,current_coverage_ratio,total_existing_slots
10001,744.0,1373.0,2117.0,102878.03360298694,0.5950970226633091,9.0,8.432527967700606,600.5674720322994,0,698.61,1,0.2876712328767123,609.0
10002,2142.0,4968.0,7110.0,59604.04116465864,0.5206618050654748,57.0,79.14970510953732,4649.8502948904625,1,3555.0,0,0.6651195499296765,4729.0
10003,1440.0,1581.0,3021.0,114273.04964539009,0.4972437218107912,7.0,0.0,1995.0,0,996.9300000000001,0,0.660377358490566,1995.0
10004,433.0,273.0,706.0,132004.3103448276,0.5066608429788163,2.0,0.0,263.0,0,232.98000000000002,0,0.37252124645892354,263.0
10005,484.0,345.0,829.0,121437.7133105802,0.6658334280195433,1.0,0.0,39.0,1,414.5,1,0.047044632086851626,39.0
10006,128.0,136.0,264.0,126377.1186440678,0.6316916488222698,1.0,14.0,142.0,1,132.0,0,0.5909090909090909,156.0
10007,605.0,590.0,1195.0,138853.90428211587,0.528910205169198,3.0,0.0,284.0,0,394.35,1,0.23765690376569037,284.0
10009,1896.0,2779.0,4675.0,77133.23353293413,0.5145674278475812,23.0,60.983488346140014,1723.01651165386,0,1542.75,0,0.3816042780748663,1784.0
10010,1422.0,2021.0,3443.0,116272.69881026926,0.4927491514964517,3.0,0.0,234.0,0,1136.19,1,0.06796398489689225,234.0
10011,1209.0,2040.0,3249.0,120420.79207920792,0.5569999212164185,7.0,44.232427779234314,1911.7675722207657,0,1072.17,0,0.6020313942751616,1956.0
10012,613.0,452.0,1065.0,111131.78633975482,0.5382730015082956,2.0,10.360539597385788,13.639460402614212,0,351.45,1,0.022535211267605635,24.0
10013,1249.0,1977.0,3226.0,106023.04469273744,0.4861983499134213,5.0,4.646411845662171,430.35358815433784,0,1064.5800000000002,1,0.13484190948543087,435.0
10014,708.0,921.0,1629.0,124233.12883435584,0.6086012015885408,6.0,71.0,1640.0,1,814.5,0,1.0503376304481278,1711.0
10016,1798.0,2125.0,3923.0,109298.7308818744,0.5652117934852582,3.0,5.499135804192892,817.500864195807,0,1294.5900000000001,1,0.2097884272240632,823.0
10017,193.0,325.0,518.0,118061.72291296624,0.7773022228358415,2.0,0.0,107.0,1,259.0,1,0.20656370656370657,107.0
10018,242.0,272.0,514.0,108746.18902439025,0.757593255572237,0.0,0.0,0.0,1,257.0,1,0.0,0.0
10019,1099.0,931.0,2030.0,107014.96779082986,0.6170789879811065,12.0,25.985421268429917,565.01457873157,1,1015.0,1,0.2911330049261084,591.0
10021,1787.0,2759.0,4546.0,124193.91462306994,0.5418040450765218,1.0,0.0,460.0,0,1500.18,1,0.10118785745710515,460.0
10022,1228.0,1597.0,2825.0,124320.79414838034,0.5698803072708867,1.0,5.216046189632506,10.783953810367493,0,932.25,1,0.005663716814159292,16.0
10023,3548.0,3685.0,7233.0,121776.25639482395,0.5057376799683438,9.0,8.82922330307126,1090.1707766969287,0,2386.8900000000003,1,0.15194248582884004,1099.0
10024,4221.0,4590.0,8811.0,118313.14878892733,0.4603816866855704,14.0,58.111270942041045,1184.888729057959,0,2907.63,1,0.14107365792759052,1243.0
10025,4499.0,5664.0,10163.0,93258.39398919934,0.4391264898750361,36.0,172.45105963356366,2380.5489403664365,0,3353.79,1,0.2512053527501722,2553.0
